Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Feast,get_historical_features,20,0,23,22.861830764543264,22.24615774996346,23.490095165965613,32833700.0,0.04198204806076716,0.0,23,23,23,23,23,23,23,23,23,23,23
,Aggregated,20,0,23,22.861830764543264,22.24615774996346,23.490095165965613,32833700.0,0.04198204806076716,0.0,23,23,23,23,23,23,23,23,23,23,23
