Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Feast,get_historical_features,44,0,71,85.18239066006737,22.354780458961613,226.35951199999545,32833700.0,0.04353232790313697,0.0,71,110,130,140,160,180,230,230,230,230,230
,Aggregated,44,0,71,85.18239066006737,22.354780458961613,226.35951199999545,32833700.0,0.04353232790313697,0.0,71,110,130,140,160,180,230,230,230,230,230
