Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Feast,get_historical_features,50,0,71,76.4637988849415,22.00231499999063,201.82550141698448,32833700.0,0.04414339558393757,0.0,71,93,110,130,160,180,200,200,200,200,200
,Aggregated,50,0,71,76.4637988849415,22.00231499999063,201.82550141698448,32833700.0,0.04414339558393757,0.0,71,93,110,130,160,180,200,200,200,200,200
